qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
04-6029949,"שכונת חיילים משוחררים, כסרא-סמיע",משרד הבריאות,טיפות חלב 🔴
04-6025222,"נצרת,  0",כללית,מרפאות 🟠
04-6025040,"גבעת חיים (איחוד),  0",כללית,מרפאות 🟠
04-6021999,"שמשית, פלג 0",כללית,מרפאות 🟠
04-6021999,"ד.נ רמת הגולן, שמשית",כללית,טיפות חלב 🔴
04-6011847,"יפיע, יפיע",משרד הבריאות,טיפות חלב 🔴
04-6011314,"עין קנייא,  0",מאוחדת,מרפאות 🟠
04-6010959,"יפיע שכ' אל ג'אבל, יפיע",משרד הבריאות,טיפות חלב 🔴
04-49936100,"יקנעם עילית, שד יצחק רבין 9",מכבי,מרפאות 🟠
04-49878400,"נהריה, וולפסון 4",מכבי,מרפאות 🟠
04-49865707,"שפרעם, מכבי - כמאל ג'ונבלאט ",מכבי,מרפאות 🟠
04-49851111,"עכו, דרך הארבעה 41",מכבי,מרפאות 🟠
04-49037700,"קרית טבעון, הרימונים 1",מכבי,מרפאות 🟠
04-49027222,"כרמיאל, השושנים 128",מכבי,מרפאות 🟠
04-48781555,"קרית מוצקין, שד בן גוריון 80",מכבי,מרפאות 🟠
04-48563200,"טירת כרמל, הרצל 39",מכבי,מרפאות 🟠
04-48431200,"קרית אתא, העצמאות 61",מכבי,מרפאות 🟠
04-48351111,"חיפה, הרצל 73",מכבי,מרפאות 🟠
04-48280400,"חיפה, התיכון 73",מכבי,מרפאות 🟠
04-48141845,"רכסים, סביון 40",מכבי,מרפאות 🟠
04-46508888,"נוף הגליל, מעלה יצחק 23",מכבי,מרפאות 🟠
04-46398262,"זכרון יעקב, הרצל 48",מכבי,מרפאות 🟠
04-46305666,"חדרה, רחוב הלל יפה 13",מכבי,מרפאות 🟠
04-46164600,"מגדל העמק, נחל הצבי 120",מכבי,מרפאות 🟠
04-3731370,"ראמה, ראמה",משרד הבריאות,טיפות חלב 🔴
03-9780200,"העצמאות  65, פתח תקווה",הבינלאומי,בנקים 🔵
03-9765400,"רבנו ניסים גאון 1, אלעד",מכבי,טיפות חלב 🔴
03-9757700,"הבנאי  6, אריאל",הפועלים,בנקים 🔵
03-9755200,"בן שטח  10, אלעד",הבינלאומי,בנקים 🔵
03-9724417,"שד עמק איילון 30, שוהם",מכבי,טיפות חלב 🔴
03-9724417,"שד עמק איילון 30, שוהם",כללית,טיפות חלב 🔴
03-9723800,"שד' עמק איילון  30, שוהם",הפועלים,בנקים 🔵
03-9688438,"רוטשילד  78, ראשון לציון",הפועלים,בנקים 🔵
03-9687459,"רוטשילד  13, ראשון לציון",הפועלים,בנקים 🔵
03-9657722,"רופין 5, ראשון לציון",משרד הבריאות,טיפות חלב 🔴
03-9652211,"העינב 18, ראשון לציון",משרד הבריאות,טיפות חלב 🔴
03-9637151,"הנחשול  30, ראשון לציון",הפועלים,בנקים 🔵
03-9600847,"בגין מנחם 25, בית דגן",משרד הבריאות,טיפות חלב 🔴
03-9599300,"ראשון לציון, ירושלים 21",כללית,מרפאות 🟠
03-9597800,"ראשון לציון, רוטשילד 7",לאומית,מרפאות 🟠
03-9595200,"תרמב  9, ראשון לציון",מסד,בנקים 🔵
03-9545522,"הר חוצבים  1, ירושלים",לאומי,בנקים 🔵
03-9545522,"כנפי נשרים  35, ירושלים",לאומי,בנקים 🔵
03-9545522,"הנדיב  11, זכרון יעקב",לאומי,בנקים 🔵
03-9545522,"הכביש הראשי, כניסה לכפר  0, דבורייה",לאומי,בנקים 🔵
03-9545522,"הר""ן  14, ביתר עילית",לאומי,בנקים 🔵
03-9545522,"הרב מנחם פרוש  1, בית שמש",לאומי,בנקים 🔵
03-9545522,"דוד בן גוריון  9, בני ברק",לאומי,בנקים 🔵
03-9545522,"בלפור  80, בת ים",לאומי,בנקים 🔵
03-9545522,"בן גוריון  2, הרצלייה",לאומי,בנקים 🔵
03-9545522,"כניסה לעיר טמרה  0, טמרה",לאומי,בנקים 🔵
03-9545522,"עגנון  20, ירושלים",לאומי,בנקים 🔵
03-9545522,"החרושת  9, כרמיאל",לאומי,בנקים 🔵
03-9545522,"הצורן  4, נתניה",לאומי,בנקים 🔵
03-9545522,"שד' יחזקאל  2, מודיעין עילית",לאומי,בנקים 🔵
03-9545522,"גולדה מאיר  1, ראשון לציון",לאומי,בנקים 🔵
03-9545522,"טוליפמן  7, ראשון לציון",לאומי,בנקים 🔵
03-9545522,"אחימאיר  21, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"כמאל גונבלאט  0, שפרעם",לאומי,בנקים 🔵
03-9545522,"הירדן  79, רמת גן",לאומי,בנקים 🔵
03-9545522,"ככר צה""ל  0, קריית שמונה",לאומי,בנקים 🔵
03-9545522,"בן גוריון  0, קריית מלאכי",לאומי,בנקים 🔵
03-9545522,"העצמאות  66, קריית אתא",לאומי,בנקים 🔵
03-9545522,"דליות  6, קצרין",לאומי,בנקים 🔵
03-9545522,"כביש ראשי כיכר פקיעין מערבי  0, פקיעין (בוקייעה)",לאומי,בנקים 🔵
03-9545522,"זלמן שזר  10, נתניה",לאומי,בנקים 🔵
03-9545522,"הרצל  63, חיפה",לאומי,בנקים 🔵
03-9545522,"הגפן  3, קריית גת",לאומי,בנקים 🔵
03-9545522,"שטמפפר  9, נתניה",לאומי,בנקים 🔵
03-9545522,"קהילת סלוניקי  7, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"קדם  5, מעלה אדומים",לאומי,בנקים 🔵
03-9545522,"קרן היסוד  2, רעננה",לאומי,בנקים 🔵
03-9545522,"דרך האלוף עוזי נרקיס  1, מעלות-תרשיחא",לאומי,בנקים 🔵
03-9545522,"מרכז הכפר נחף  0, נחף",לאומי,בנקים 🔵
03-9545522,"פרופסור אברהם פצ'ורניק  19, נס ציונה",לאומי,בנקים 🔵
03-9545522,"הגליל  16, נצרת",לאומי,בנקים 🔵
03-9545522,"איכסל  9, נצרת",לאומי,בנקים 🔵
03-9545522,"יודפת  2, לוד",לאומי,בנקים 🔵
03-9545522,"בעלי מלאכה  5, נתיבות",לאומי,בנקים 🔵
03-9545522,"מנחם בגין  72, עפולה",לאומי,בנקים 🔵
03-9545522,"חן  4, ערד",לאומי,בנקים 🔵
03-9545522,"הרחוב הראשי  0, ערערה",לאומי,בנקים 🔵
03-9545522,"שדרות הדקלים  119, פרדס חנה-כרכור",לאומי,בנקים 🔵
03-9545522,"יצחק רבין  1, פתח תקווה",לאומי,בנקים 🔵
03-9545522,"סוטין  4, פתח תקווה",לאומי,בנקים 🔵
03-9545522,"אל קודס  0, קלנסווה",לאומי,בנקים 🔵
03-9545522,"כלב בן יפונה  0, קריית ארבע",לאומי,בנקים 🔵
03-9545522,"דרך עכו  194, קריית ביאליק",לאומי,בנקים 🔵
03-9545522,"קרן היסוד  29, קריית אתא",לאומי,בנקים 🔵
03-9545522,"ארבל  17, מבשרת ציון",לאומי,בנקים 🔵
03-9545522,"ככר בן גוריון  0, קריית טבעון",לאומי,בנקים 🔵
03-9545522,"כביש ראמה-סאג'ור  0, ראמה",לאומי,בנקים 🔵
03-9545522,"האגס  0, ראש פינה",לאומי,בנקים 🔵
03-9545522,"הרצל  65, ראשון לציון",לאומי,בנקים 🔵
03-9545522,"זד""ל  7, ראשון לציון",לאומי,בנקים 🔵
03-9545522,"שדרות הרצל  84, רמלה",לאומי,בנקים 🔵
03-9545522,"שוהם  2, רמת גן",לאומי,בנקים 🔵
03-9545522,"ביאליק  22, רמת גן",לאומי,בנקים 🔵
03-9545522,"חורש האלונים  4, רמת ישי",לאומי,בנקים 🔵
03-9545522,"אהבת ישראל  3, שדרות",לאומי,בנקים 🔵
03-9545522,"סוקולוב  69, רמת השרון",לאומי,בנקים 🔵
03-9545522,"עמק איילון  30, שוהם",לאומי,בנקים 🔵
03-9545522,"ברודצקי  43, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"מרזוק ועזר  11, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"אליפלט  26, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"המלך ג'ורג'  61, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"הארבעה  19, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"מונטיפיורי  31, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"שדרות הר ציון  106, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"פנקס  48, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"הדקל  52, תל מונד",לאומי,בנקים 🔵
03-9545522,"שדרות פל ים  7, חיפה",לאומי,בנקים 🔵
03-9545522,"גלבוע  36, חיפה",לאומי,בנקים 🔵
03-9545522,"השלושה  9, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"אבן גבירול  71, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"תופיק זיאד  370, שפרעם",לאומי,בנקים 🔵
03-9545522,"הרצל  200, רחובות",לאומי,בנקים 🔵
03-9545522,"דרך מנחם בגין  7, רמת גן",לאומי,בנקים 🔵
03-9545522,"שדרות משה גושן  90, קריית מוצקין",לאומי,בנקים 🔵
03-9545522,"קרן היסוד  64, קריית ביאליק",לאומי,בנקים 🔵
03-9545522,"זיידמן  2, קריית אונו",לאומי,בנקים 🔵
03-9545522,"רוטשילד  0, נס ציונה",לאומי,בנקים 🔵
03-9545522,"החרושת  2, עכו",לאומי,בנקים 🔵
03-9545522,"ויצמן  64, נהרייה",לאומי,בנקים 🔵
03-9545522,"אבא הלל סילבר  3, לוד",לאומי,בנקים 🔵
03-9545522,"שדרות שאול עמור  77, מגדל העמק",לאומי,בנקים 🔵
03-9545522,"בכניסה לכפר  0, מגאר",לאומי,בנקים 🔵
03-9545522,"עלי בן אבו טאלב  0, כפר קאסם",לאומי,בנקים 🔵
03-9545522,"הטחנה  1, כפר סבא",לאומי,בנקים 🔵
03-9545522,"הארבעה  28, תל אביב -יפו",לאומי,בנקים 🔵
03-9545522,"המלך ג'ורג'  22, ירושלים",לאומי,בנקים 🔵
03-9545522,"הרחוב הראשי  0, כפר כנא",לאומי,בנקים 🔵
03-9545522,"גאיה סנטר  0, ירכא",לאומי,בנקים 🔵
03-9545522,"עלי אבן אבו טאלב  3, ירושלים",לאומי,בנקים 🔵
03-9545522,"דוד המלך  19, ירושלים",לאומי,בנקים 🔵
03-9545522,"רמב""ן  21, ירושלים",לאומי,בנקים 🔵
03-9545522,"יפו  208, ירושלים",לאומי,בנקים 🔵
03-9545522,"רוטשילד  57, פתח תקווה",לאומי,בנקים 🔵
03-9545522,"הקישון  7, יבנה",לאומי,בנקים 🔵
03-9545522,"מרכז הכפר  0, טורעאן",לאומי,בנקים 🔵
03-9545522,"שד' הנשיא  107, חיפה",לאומי,בנקים 🔵
03-9545522,"המלאכה  6, חולון",לאומי,בנקים 🔵
03-9545522,"האומן  17, חדרה",לאומי,בנקים 🔵
03-9545522,"סוקולוב  45, חולון",לאומי,בנקים 🔵
03-9545522,"המנופים  15, הרצלייה",לאומי,בנקים 🔵
03-9545522,"כניסה לכפר  0, ג'ולס",לאומי,בנקים 🔵
03-9545522,"אחד  66, דאלית אל-כרמל",לאומי,בנקים 🔵
03-9545522,"הרחוב הראשי 5333  60, ג'לג'וליה",לאומי,בנקים 🔵
03-9545522,"מתחם סבן SEVEN, כניסה לעיר  0, אום אל-פחם",לאומי,בנקים 🔵
03-9545522,"מרכז הכפר  0, בענה",לאומי,בנקים 🔵
03-9545522,"יגאל אלון  6, בית שמש",לאומי,בנקים 🔵
03-9545522,"דוד בן גוריון  37, באר שבע",לאומי,בנקים 🔵
03-9545522,"מתחם WE CENTER  0, באקה אל-גרביה",לאומי,בנקים 🔵
03-9545522,"הנשיא  3, אשלים",לאומי,בנקים 🔵
03-9545522,"צה""ל  99, אשלים",לאומי,בנקים 🔵
03-9545522,"אליהו סעדון קניון קניאור  120, אור יהודה",לאומי,בנקים 🔵
03-9545522,"שדרות הציונות  13, אשדוד",לאומי,בנקים 🔵
03-9545522,"משה לוי  11, ראשון לציון",לאומי,בנקים 🔵
03-9545522,"רחוב ראשי  0, אעבלין",לאומי,בנקים 🔵
03-9545522,"שאול המלך  81, בית שאן",לאומי,בנקים 🔵
03-9545522,"יהדות דרום אפריקה  14, אופקים",לאומי,בנקים 🔵
03-9545522,"שד' התמרים  0, אילת",לאומי,בנקים 🔵
03-9545522,"יצחק רגר  11, באר שבע",לאומי,בנקים 🔵
03-9545522,"צה""ל  3, אשדוד",לאומי,בנקים 🔵
03-9545522,"שבי ציון  3, אשדוד",לאומי,בנקים 🔵
03-9545522,"תורת היחסות  11, באר שבע",לאומי,בנקים 🔵
03-9545522,"זהרה אלפסיה  7, ראש העין",לאומי,בנקים 🔵
03-9545522,"דרך מצדה  6, באר שבע",לאומי,בנקים 🔵
03-9545522,"בכניסה לכפר  0, בית ג'ן",לאומי,בנקים 🔵
03-9545522,"חזון איש  54, בני ברק",לאומי,בנקים 🔵
03-9545522,"שדרות העצמאות  67, בת ים",לאומי,בנקים 🔵
03-9545522,"כצנלסון  67, גבעתיים",לאומי,בנקים 🔵
03-9545522,"הרצל  30, טירת כרמל",לאומי,בנקים 🔵
03-9545522,"הבילויים  30, גדרה",לאומי,בנקים 🔵
03-9545522,"הגדוד השלישי  2, צפת",לאומי,בנקים 🔵
03-9545522,"הרצל  4, גן יבנה",לאומי,בנקים 🔵
03-9545522,"דרך ארץ  46, חריש",לאומי,בנקים 🔵
03-9545522,"המרכז המסחרי  0, דימונה",לאומי,בנקים 🔵
03-9545522,"דרך רמתיים  96, הוד השרון",לאומי,בנקים 🔵
03-9545522,"התרנ""א  20, חדרה",לאומי,בנקים 🔵
03-9545522,"משכית  14, הרצלייה",לאומי,בנקים 🔵
03-9545522,"כביש ראשי סכנין עראבה  0, סח'נין",לאומי,בנקים 🔵
03-9545522,"פינחס איילון  13, חולון",לאומי,בנקים 🔵
03-9545522,"מרכז הכפר  0, חורפיש",לאומי,בנקים 🔵
03-9545522,"חורב  14, חיפה",לאומי,בנקים 🔵
03-9545522,"פלימן  4, חיפה",לאומי,בנקים 🔵
03-9545522,"שדרות הנשיא  123, חיפה",לאומי,בנקים 🔵
03-9545522,"פארן  15, ירושלים",לאומי,בנקים 🔵
03-9545522,"טארק עבדול חי  0, טירה",לאומי,בנקים 🔵
03-9545522,"הרב חיים סמאג'א  12, טבריה",לאומי,בנקים 🔵
03-9545522,"מנחם אריאב  18, נוף הגליל",לאומי,בנקים 🔵
03-9545522,"דרך העצמאות  54, יהוד-מונוסון",לאומי,בנקים 🔵
03-9545522,"התמר  2, יקנעם עילית",לאומי,בנקים 🔵
03-9545522,"שדרות הרצל  106, ירושלים",לאומי,בנקים 🔵
03-9545522,"שדרות דוד המלך  0, לוד",לאומי,בנקים 🔵
03-9545522,"דרך חברון  101, ירושלים",לאומי,בנקים 🔵
03-9545522,"יפו  206, ירושלים",לאומי,בנקים 🔵
03-9545522,"הרכבת  2, מודיעין-מכבים-רעות",לאומי,בנקים 🔵
